index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3
1,65,2,3,4,1,4,5,5,5,5,4,4,4,5,4,2,4,5,4,5,5,4,5,5,5
2,103,2,3,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,4,3,3,3
3,110,1,3,4,1,4,4,4,3,4,4,4,4,2,2,2,3,4,3,2,2,4,2,2,4
4,98,2,3,4,1,2,4,4,4,5,5,4,4,5,2,5,4,5,5,5,5,5,5,5,4
5,116,2,3,4,1,3,4,3,2,3,4,3,3,4,3,3,2,2,2,2,3,4,4,3,3
6,107,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,87,2,3,4,1,4,2,3,4,4,3,4,3,4,4,3,3,3,4,4,4,4,4,4,3
8,45,2,2,1,1,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1
9,78,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,109,2,2,1,1,4,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,4,4,4
11,122,2,2,1,1,4,4,5,4,4,4,4,5,4,3,4,2,2,2,2,4,4,4,4,4
12,150,2,2,1,1,4,4,4,4,3,3,5,3,4,3,4,3,3,3,4,3,3,4,4,3
13,62,2,1,1,1,4,3,4,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4
14,209,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,2
15,90,2,2,1,1,5,5,4,5,5,5,5,5,5,4,3,2,4,5,4,4,4,4,4,4
16,70,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
17,293,2,2,1,1,4,4,4,4,4,5,4,4,4,4,3,4,4,4,2,4,4,4,4,4
18,147,2,2,1,1,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
19,61,2,2,1,1,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,4,5
20,71,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,54,2,1,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
22,55,2,2,1,1,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5
23,84,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
24,113,2,2,1,1,5,5,5,4,4,5,5,5,4,3,4,3,4,4,4,3,3,4,3,3
25,100,2,2,1,1,4,4,4,4,4,3,4,4,3,3,3,3,2,2,2,3,3,3,3,3
26,68,2,1,1,1,5,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
