Dataset,CON_score,SAT_score,CI_score,Straight_Line_Flag,Very_Fast_Flag,High_Risk_Flag,Strict_Duplicate_Flag
B,4.333333333333333,4.666666666666667,5.0,False,False,False,False
B,4.333333333333333,4.333333333333333,3.0,False,False,False,False
B,3.3333333333333335,2.6666666666666665,2.6666666666666665,False,False,False,False
B,4.666666666666667,5.0,4.666666666666667,False,False,False,False
B,2.0,3.0,3.3333333333333335,False,False,False,False
B,4.0,4.0,4.0,True,False,False,False
B,3.3333333333333335,4.0,3.6666666666666665,False,False,False,False
B,4.0,4.0,2.0,False,True,False,False
B,4.0,4.0,4.0,True,False,False,False
B,3.0,2.6666666666666665,4.0,False,False,False,False
B,2.0,3.3333333333333335,4.0,False,False,False,False
B,3.0,3.3333333333333335,3.6666666666666665,False,False,False,False
B,3.6666666666666665,4.0,4.0,False,False,False,False
B,3.0,3.0,3.0,False,False,False,False
B,3.6666666666666665,4.0,4.0,False,False,False,False
B,3.0,3.0,3.0,True,False,False,False
B,4.0,3.3333333333333335,4.0,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,4.666666666666667,4.666666666666667,4.666666666666667,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,3.0,3.0,3.0,False,False,False,False
B,4.333333333333333,4.0,4.333333333333333,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,3.6666666666666665,3.3333333333333335,3.3333333333333335,False,False,False,False
B,2.3333333333333335,2.6666666666666665,3.0,False,False,False,False
B,3.0,3.0,3.0,False,False,False,False
B,3.3333333333333335,3.3333333333333335,4.0,False,False,False,False
B,4.0,4.0,3.6666666666666665,False,False,False,False
B,3.6666666666666665,4.0,4.0,False,False,False,False
B,4.0,4.0,3.6666666666666665,False,False,False,False
B,3.0,3.3333333333333335,3.0,False,False,False,False
B,4.0,4.0,4.0,True,False,False,False
B,4.0,4.0,4.0,True,True,True,False
B,3.0,3.0,3.0,True,True,True,False
B,3.6666666666666665,3.6666666666666665,3.3333333333333335,False,False,False,False
B,3.0,3.0,3.0,False,False,False,False
B,4.0,4.0,3.6666666666666665,False,False,False,False
B,4.0,4.0,3.0,False,False,False,False
B,2.3333333333333335,2.6666666666666665,2.6666666666666665,False,True,False,False
B,2.6666666666666665,4.0,2.6666666666666665,False,False,False,False
B,3.0,3.0,3.3333333333333335,False,False,False,False
B,5.0,5.0,5.0,True,True,True,False
B,3.0,3.0,3.0,True,False,False,False
B,4.0,4.666666666666667,4.666666666666667,False,False,False,False
B,3.6666666666666665,4.0,5.0,False,False,False,False
B,1.0,1.0,1.0,False,False,False,False
B,3.3333333333333335,3.0,3.0,False,False,False,False
B,4.666666666666667,5.0,5.0,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,2.6666666666666665,3.6666666666666665,3.0,False,False,False,False
B,1.6666666666666667,2.0,3.0,False,False,False,False
B,4.0,4.0,3.6666666666666665,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,4.333333333333333,4.666666666666667,4.333333333333333,False,False,False,False
B,5.0,4.666666666666667,5.0,False,False,False,False
B,5.0,5.0,5.0,False,False,False,False
B,5.0,5.0,5.0,True,False,False,True
B,3.6666666666666665,3.3333333333333335,3.3333333333333335,False,False,False,False
B,5.0,5.0,5.0,True,False,False,True
B,4.0,4.0,4.0,True,False,False,False
B,3.0,3.0,3.0,False,False,False,False
B,4.0,4.0,3.0,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,4.0,4.0,4.0,True,False,False,False
B,4.666666666666667,4.333333333333333,4.666666666666667,False,False,False,False
B,4.0,3.3333333333333335,4.0,False,False,False,False
B,4.0,4.333333333333333,4.666666666666667,False,False,False,False
B,4.0,4.0,4.333333333333333,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,4.0,4.0,4.0,True,False,False,False
B,3.3333333333333335,3.3333333333333335,3.6666666666666665,False,False,False,False
B,4.0,4.0,4.333333333333333,False,False,False,False
B,4.0,4.333333333333333,4.0,False,False,False,False
B,3.0,2.6666666666666665,2.6666666666666665,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,5.0,5.0,5.0,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,5.0,5.0,5.0,False,False,False,False
B,4.0,4.0,4.0,True,True,True,True
B,4.0,4.0,4.0,True,False,False,False
B,3.6666666666666665,2.3333333333333335,2.6666666666666665,False,False,False,False
B,3.3333333333333335,3.3333333333333335,4.0,False,False,False,False
B,4.0,4.0,4.0,True,False,False,True
B,3.6666666666666665,4.0,4.0,False,False,False,False
B,5.0,5.0,5.0,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,4.0,4.0,4.0,True,False,False,True
B,3.0,4.0,3.0,False,False,False,False
B,4.0,4.0,4.0,True,False,False,True
B,4.0,4.0,4.0,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,4.0,4.0,3.6666666666666665,False,False,False,False
B,4.0,4.0,4.0,True,False,False,False
B,3.6666666666666665,3.6666666666666665,3.3333333333333335,False,False,False,False
B,4.333333333333333,4.0,4.0,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,4.0,4.0,4.0,True,False,False,False
B,3.6666666666666665,4.0,4.0,False,False,False,False
B,5.0,5.0,4.333333333333333,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,4.666666666666667,4.666666666666667,5.0,False,False,False,False
B,3.6666666666666665,4.0,4.0,False,False,False,False
B,5.0,5.0,5.0,True,True,True,False
B,3.0,3.0,3.0,True,False,False,False
B,3.0,3.0,3.0,True,True,True,False
B,3.0,4.0,4.0,False,False,False,False
B,3.3333333333333335,2.6666666666666665,3.3333333333333335,False,False,False,False
B,4.0,3.3333333333333335,3.0,False,False,False,False
B,4.0,3.3333333333333335,3.0,False,False,False,False
B,3.6666666666666665,5.0,5.0,False,False,False,False
B,4.0,4.333333333333333,4.0,False,False,False,False
B,3.6666666666666665,3.3333333333333335,3.0,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,5.0,4.666666666666667,5.0,False,False,False,False
B,4.0,4.0,4.0,True,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,4.0,4.0,4.0,True,False,False,False
B,3.3333333333333335,3.3333333333333335,3.3333333333333335,False,False,False,False
B,4.0,4.0,4.0,False,False,False,False
B,5.0,5.0,5.0,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,3.3333333333333335,3.6666666666666665,3.3333333333333335,False,False,False,False
B,3.6666666666666665,4.0,4.0,False,False,False,False
B,5.0,5.0,5.0,True,False,False,False
B,3.0,3.0,3.0,False,False,False,False
B,4.666666666666667,4.333333333333333,5.0,False,False,False,False
B,5.0,5.0,5.0,True,False,False,True
B,5.0,5.0,5.0,True,True,True,False
B,4.0,4.0,4.0,True,True,True,False
B,3.6666666666666665,3.6666666666666665,3.6666666666666665,False,False,False,False
B,3.6666666666666665,4.0,4.0,False,False,False,False
