index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3,PEdS_score,PEmS_score,PU_score,CON_score,SAT_score,CI_score
1,65,2,3,4,1,4,5,5,5,5,4,4,4,5,4,2,4,5,4,5,5,4,5,5,5,4.75,4.25,3.6666666666666665,4.333333333333333,4.666666666666667,5.0
2,103,2,3,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,4,3,3,3,4.0,4.0,3.6666666666666665,4.333333333333333,4.333333333333333,3.0
3,110,1,3,4,1,4,4,4,3,4,4,4,4,2,2,2,3,4,3,2,2,4,2,2,4,3.75,4.0,2.0,3.3333333333333335,2.6666666666666665,2.6666666666666665
4,98,2,3,4,1,2,4,4,4,5,5,4,4,5,2,5,4,5,5,5,5,5,5,5,4,3.5,4.5,4.0,4.666666666666667,5.0,4.666666666666667
5,116,2,3,4,1,3,4,3,2,3,4,3,3,4,3,3,2,2,2,2,3,4,4,3,3,3.0,3.25,3.3333333333333335,2.0,3.0,3.3333333333333335
6,107,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0
7,87,2,3,4,1,4,2,3,4,4,3,4,3,4,4,3,3,3,4,4,4,4,4,4,3,3.25,3.5,3.6666666666666665,3.3333333333333335,4.0,3.6666666666666665
8,45,2,2,1,1,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1,3.75,4.0,3.6666666666666665,4.0,4.0,2.0
9,78,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0
10,109,2,2,1,1,4,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,4,4,4,3.25,3.0,2.0,3.0,2.6666666666666665,4.0
11,122,2,2,1,1,4,4,5,4,4,4,4,5,4,3,4,2,2,2,2,4,4,4,4,4,4.25,4.25,3.6666666666666665,2.0,3.3333333333333335,4.0
12,150,2,2,1,1,4,4,4,4,3,3,5,3,4,3,4,3,3,3,4,3,3,4,4,3,4.0,3.5,3.6666666666666665,3.0,3.3333333333333335,3.6666666666666665
13,62,2,1,1,1,4,3,4,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4.0,4.25,4.0,3.6666666666666665,4.0,4.0
14,209,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,2,4.0,4.0,3.6666666666666665,3.0,3.0,3.0
15,90,2,2,1,1,5,5,4,5,5,5,5,5,5,4,3,2,4,5,4,4,4,4,4,4,4.75,5.0,4.0,3.6666666666666665,4.0,4.0
