index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3,Straight_Line_Flag,Very_Fast_Flag,High_Risk_Flag,Strict_Duplicate_Flag
1,65,2,3,4,1,4,5,5,5,5,4,4,4,5,4,2,4,5,4,5,5,4,5,5,5,False,False,False,False
2,103,2,3,4,1,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,4,3,3,3,False,False,False,False
3,110,1,3,4,1,4,4,4,3,4,4,4,4,2,2,2,3,4,3,2,2,4,2,2,4,False,False,False,False
4,98,2,3,4,1,2,4,4,4,5,5,4,4,5,2,5,4,5,5,5,5,5,5,5,4,False,False,False,False
5,116,2,3,4,1,3,4,3,2,3,4,3,3,4,3,3,2,2,2,2,3,4,4,3,3,False,False,False,False
6,107,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
7,87,2,3,4,1,4,2,3,4,4,3,4,3,4,4,3,3,3,4,4,4,4,4,4,3,False,False,False,False
8,45,2,2,1,1,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,1,False,True,False,False
9,78,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
10,109,2,2,1,1,4,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,4,4,4,False,False,False,False
11,122,2,2,1,1,4,4,5,4,4,4,4,5,4,3,4,2,2,2,2,4,4,4,4,4,False,False,False,False
12,150,2,2,1,1,4,4,4,4,3,3,5,3,4,3,4,3,3,3,4,3,3,4,4,3,False,False,False,False
13,62,2,1,1,1,4,3,4,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,False,False,False,False
14,209,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,2,False,False,False,False
15,90,2,2,1,1,5,5,4,5,5,5,5,5,5,4,3,2,4,5,4,4,4,4,4,4,False,False,False,False
16,70,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,True,False,False,False
17,293,2,2,1,1,4,4,4,4,4,5,4,4,4,4,3,4,4,4,2,4,4,4,4,4,False,False,False,False
18,147,2,2,1,1,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,False,False,False,False
19,61,2,2,1,1,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,4,5,False,False,False,False
20,71,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
21,54,2,1,1,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
22,55,2,2,1,1,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5,False,False,False,False
